144 66 24
1 13 35
1 14 36 46
1 15 37 47
1 16 38 48
1 17 39 49
1 18 40 50
1 19 41 51
1 20 42 52
1 21 43 53
1 22 44 54
1 23 45 55
1 24 56
2 13 34 46
2 14 35 47
2 15 36 48
2 16 37 49
2 17 38 50
2 18 39 51
2 19 40 52
2 20 41 53
2 21 42 54
2 22 43 55
2 23 44 56
2 24 45 57
3 13 33 47
3 14 34 48
3 15 35 49
3 16 36 50
3 17 37 51
3 18 38 52
3 19 39 53
3 20 40 54
3 21 41 55
3 22 42 56
3 23 43 57
3 24 44 58
4 13 32 48
4 14 33 49
4 15 34 50
4 16 35 51
4 17 36 52
4 18 37 53
4 19 38 54
4 20 39 55
4 21 40 56
4 22 41 57
4 23 42 58
4 24 43 59
5 13 31 49
5 14 32 50
5 15 33 51
5 16 34 52
5 17 35 53
5 18 36 54
5 19 37 55
5 20 38 56
5 21 39 57
5 22 40 58
5 23 41 59
5 24 42 60
6 13 30 50
6 14 31 51
6 15 32 52
6 16 33 53
6 17 34 54
6 18 35 55
6 19 36 56
6 20 37 57
6 21 38 58
6 22 39 59
6 23 40 60
6 24 41 61
7 13 29 51
7 14 30 52
7 15 31 53
7 16 32 54
7 17 33 55
7 18 34 56
7 19 35 57
7 20 36 58
7 21 37 59
7 22 38 60
7 23 39 61
7 24 40 62
8 13 28 52
8 14 29 53
8 15 30 54
8 16 31 55
8 17 32 56
8 18 33 57
8 19 34 58
8 20 35 59
8 21 36 60
8 22 37 61
8 23 38 62
8 24 39 63
9 13 27 53
9 14 28 54
9 15 29 55
9 16 30 56
9 17 31 57
9 18 32 58
9 19 33 59
9 20 34 60
9 21 35 61
9 22 36 62
9 23 37 63
9 24 38 64
10 13 26 54
10 14 27 55
10 15 28 56
10 16 29 57
10 17 30 58
10 18 31 59
10 19 32 60
10 20 33 61
10 21 34 62
10 22 35 63
10 23 36 64
10 24 37 65
11 13 25 55
11 14 26 56
11 15 27 57
11 16 28 58
11 17 29 59
11 18 30 60
11 19 31 61
11 20 32 62
11 21 33 63
11 22 34 64
11 23 35 65
11 24 36 66
12 13 56
12 14 25 57
12 15 26 58
12 16 27 59
12 17 28 60
12 18 29 61
12 19 30 62
12 20 31 63
12 21 32 64
12 22 33 65
12 23 34 66
12 24 35
