4096 1024 1024
1 257 513 769
1 258 514 770
1 259 515 771
1 260 516 772
1 261 517 773
1 262 518 774
1 263 519 775
1 264 520 776
1 265 521 777
1 266 522 778
1 267 523 779
1 268 524 780
1 269 525 781
1 270 526 782
1 271 527 783
1 272 528 784
2 257 529 769
2 258 530 770
2 259 531 771
2 260 532 772
2 261 533 773
2 262 534 774
2 263 535 775
2 264 536 776
2 265 537 777
2 266 538 778
2 267 539 779
2 268 540 780
2 269 541 781
2 270 542 782
2 271 543 783
2 272 544 784
3 257 545 769
3 258 546 770
3 259 547 771
3 260 548 772
3 261 549 773
3 262 550 774
3 263 551 775
3 264 552 776
3 265 553 777
3 266 554 778
3 267 555 779
3 268 556 780
3 269 557 781
3 270 558 782
3 271 559 783
3 272 560 784
4 257 561 769
4 258 562 770
4 259 563 771
4 260 564 772
4 261 565 773
4 262 566 774
4 263 567 775
4 264 568 776
4 265 569 777
4 266 570 778
4 267 571 779
4 268 572 780
4 269 573 781
4 270 574 782
4 271 575 783
4 272 576 784
5 257 577 785
5 258 578 786
5 259 579 787
5 260 580 788
5 261 581 789
5 262 582 790
5 263 583 791
5 264 584 792
5 265 585 793
5 266 586 794
5 267 587 795
5 268 588 796
5 269 589 797
5 270 590 798
5 271 591 799
5 272 592 800
6 257 593 785
6 258 594 786
6 259 595 787
6 260 596 788
6 261 597 789
6 262 598 790
6 263 599 791
6 264 600 792
6 265 601 793
6 266 602 794
6 267 603 795
6 268 604 796
6 269 605 797
6 270 606 798
6 271 607 799
6 272 608 800
7 257 609 785
7 258 610 786
7 259 611 787
7 260 612 788
7 261 613 789
7 262 614 790
7 263 615 791
7 264 616 792
7 265 617 793
7 266 618 794
7 267 619 795
7 268 620 796
7 269 621 797
7 270 622 798
7 271 623 799
7 272 624 800
8 257 625 785
8 258 626 786
8 259 627 787
8 260 628 788
8 261 629 789
8 262 630 790
8 263 631 791
8 264 632 792
8 265 633 793
8 266 634 794
8 267 635 795
8 268 636 796
8 269 637 797
8 270 638 798
8 271 639 799
8 272 640 800
9 257 641 801
9 258 642 802
9 259 643 803
9 260 644 804
9 261 645 805
9 262 646 806
9 263 647 807
9 264 648 808
9 265 649 809
9 266 650 810
9 267 651 811
9 268 652 812
9 269 653 813
9 270 654 814
9 271 655 815
9 272 656 816
10 257 657 801
10 258 658 802
10 259 659 803
10 260 660 804
10 261 661 805
10 262 662 806
10 263 663 807
10 264 664 808
10 265 665 809
10 266 666 810
10 267 667 811
10 268 668 812
10 269 669 813
10 270 670 814
10 271 671 815
10 272 672 816
11 257 673 801
11 258 674 802
11 259 675 803
11 260 676 804
11 261 677 805
11 262 678 806
11 263 679 807
11 264 680 808
11 265 681 809
11 266 682 810
11 267 683 811
11 268 684 812
11 269 685 813
11 270 686 814
11 271 687 815
11 272 688 816
12 257 689 801
12 258 690 802
12 259 691 803
12 260 692 804
12 261 693 805
12 262 694 806
12 263 695 807
12 264 696 808
12 265 697 809
12 266 698 810
12 267 699 811
12 268 700 812
12 269 701 813
12 270 702 814
12 271 703 815
12 272 704 816
13 257 705 817
13 258 706 818
13 259 707 819
13 260 708 820
13 261 709 821
13 262 710 822
13 263 711 823
13 264 712 824
13 265 713 825
13 266 714 826
13 267 715 827
13 268 716 828
13 269 717 829
13 270 718 830
13 271 719 831
13 272 720 832
14 257 721 817
14 258 722 818
14 259 723 819
14 260 724 820
14 261 725 821
14 262 726 822
14 263 727 823
14 264 728 824
14 265 729 825
14 266 730 826
14 267 731 827
14 268 732 828
14 269 733 829
14 270 734 830
14 271 735 831
14 272 736 832
15 257 737 817
15 258 738 818
15 259 739 819
15 260 740 820
15 261 741 821
15 262 742 822
15 263 743 823
15 264 744 824
15 265 745 825
15 266 746 826
15 267 747 827
15 268 748 828
15 269 749 829
15 270 750 830
15 271 751 831
15 272 752 832
16 257 753 817
16 258 754 818
16 259 755 819
16 260 756 820
16 261 757 821
16 262 758 822
16 263 759 823
16 264 760 824
16 265 761 825
16 266 762 826
16 267 763 827
16 268 764 828
16 269 765 829
16 270 766 830
16 271 767 831
16 272 768 832
17 273 513 769
17 274 514 770
17 275 515 771
17 276 516 772
17 277 517 773
17 278 518 774
17 279 519 775
17 280 520 776
17 281 521 777
17 282 522 778
17 283 523 779
17 284 524 780
17 285 525 781
17 286 526 782
17 287 527 783
17 288 528 784
18 273 529 769
18 274 530 770
18 275 531 771
18 276 532 772
18 277 533 773
18 278 534 774
18 279 535 775
18 280 536 776
18 281 537 777
18 282 538 778
18 283 539 779
18 284 540 780
18 285 541 781
18 286 542 782
18 287 543 783
18 288 544 784
19 273 545 769
19 274 546 770
19 275 547 771
19 276 548 772
19 277 549 773
19 278 550 774
19 279 551 775
19 280 552 776
19 281 553 777
19 282 554 778
19 283 555 779
19 284 556 780
19 285 557 781
19 286 558 782
19 287 559 783
19 288 560 784
20 273 561 769
20 274 562 770
20 275 563 771
20 276 564 772
20 277 565 773
20 278 566 774
20 279 567 775
20 280 568 776
20 281 569 777
20 282 570 778
20 283 571 779
20 284 572 780
20 285 573 781
20 286 574 782
20 287 575 783
20 288 576 784
21 273 577 785
21 274 578 786
21 275 579 787
21 276 580 788
21 277 581 789
21 278 582 790
21 279 583 791
21 280 584 792
21 281 585 793
21 282 586 794
21 283 587 795
21 284 588 796
21 285 589 797
21 286 590 798
21 287 591 799
21 288 592 800
22 273 593 785
22 274 594 786
22 275 595 787
22 276 596 788
22 277 597 789
22 278 598 790
22 279 599 791
22 280 600 792
22 281 601 793
22 282 602 794
22 283 603 795
22 284 604 796
22 285 605 797
22 286 606 798
22 287 607 799
22 288 608 800
23 273 609 785
23 274 610 786
23 275 611 787
23 276 612 788
23 277 613 789
23 278 614 790
23 279 615 791
23 280 616 792
23 281 617 793
23 282 618 794
23 283 619 795
23 284 620 796
23 285 621 797
23 286 622 798
23 287 623 799
23 288 624 800
24 273 625 785
24 274 626 786
24 275 627 787
24 276 628 788
24 277 629 789
24 278 630 790
24 279 631 791
24 280 632 792
24 281 633 793
24 282 634 794
24 283 635 795
24 284 636 796
24 285 637 797
24 286 638 798
24 287 639 799
24 288 640 800
25 273 641 801
25 274 642 802
25 275 643 803
25 276 644 804
25 277 645 805
25 278 646 806
25 279 647 807
25 280 648 808
25 281 649 809
25 282 650 810
25 283 651 811
25 284 652 812
25 285 653 813
25 286 654 814
25 287 655 815
25 288 656 816
26 273 657 801
26 274 658 802
26 275 659 803
26 276 660 804
26 277 661 805
26 278 662 806
26 279 663 807
26 280 664 808
26 281 665 809
26 282 666 810
26 283 667 811
26 284 668 812
26 285 669 813
26 286 670 814
26 287 671 815
26 288 672 816
27 273 673 801
27 274 674 802
27 275 675 803
27 276 676 804
27 277 677 805
27 278 678 806
27 279 679 807
27 280 680 808
27 281 681 809
27 282 682 810
27 283 683 811
27 284 684 812
27 285 685 813
27 286 686 814
27 287 687 815
27 288 688 816
28 273 689 801
28 274 690 802
28 275 691 803
28 276 692 804
28 277 693 805
28 278 694 806
28 279 695 807
28 280 696 808
28 281 697 809
28 282 698 810
28 283 699 811
28 284 700 812
28 285 701 813
28 286 702 814
28 287 703 815
28 288 704 816
29 273 705 817
29 274 706 818
29 275 707 819
29 276 708 820
29 277 709 821
29 278 710 822
29 279 711 823
29 280 712 824
29 281 713 825
29 282 714 826
29 283 715 827
29 284 716 828
29 285 717 829
29 286 718 830
29 287 719 831
29 288 720 832
30 273 721 817
30 274 722 818
30 275 723 819
30 276 724 820
30 277 725 821
30 278 726 822
30 279 727 823
30 280 728 824
30 281 729 825
30 282 730 826
30 283 731 827
30 284 732 828
30 285 733 829
30 286 734 830
30 287 735 831
30 288 736 832
31 273 737 817
31 274 738 818
31 275 739 819
31 276 740 820
31 277 741 821
31 278 742 822
31 279 743 823
31 280 744 824
31 281 745 825
31 282 746 826
31 283 747 827
31 284 748 828
31 285 749 829
31 286 750 830
31 287 751 831
31 288 752 832
32 273 753 817
32 274 754 818
32 275 755 819
32 276 756 820
32 277 757 821
32 278 758 822
32 279 759 823
32 280 760 824
32 281 761 825
32 282 762 826
32 283 763 827
32 284 764 828
32 285 765 829
32 286 766 830
32 287 767 831
32 288 768 832
33 289 513 769
33 290 514 770
33 291 515 771
33 292 516 772
33 293 517 773
33 294 518 774
33 295 519 775
33 296 520 776
33 297 521 777
33 298 522 778
33 299 523 779
33 300 524 780
33 301 525 781
33 302 526 782
33 303 527 783
33 304 528 784
34 289 529 769
34 290 530 770
34 291 531 771
34 292 532 772
34 293 533 773
34 294 534 774
34 295 535 775
34 296 536 776
34 297 537 777
34 298 538 778
34 299 539 779
34 300 540 780
34 301 541 781
34 302 542 782
34 303 543 783
34 304 544 784
35 289 545 769
35 290 546 770
35 291 547 771
35 292 548 772
35 293 549 773
35 294 550 774
35 295 551 775
35 296 552 776
35 297 553 777
35 298 554 778
35 299 555 779
35 300 556 780
35 301 557 781
35 302 558 782
35 303 559 783
35 304 560 784
36 289 561 769
36 290 562 770
36 291 563 771
36 292 564 772
36 293 565 773
36 294 566 774
36 295 567 775
36 296 568 776
36 297 569 777
36 298 570 778
36 299 571 779
36 300 572 780
36 301 573 781
36 302 574 782
36 303 575 783
36 304 576 784
37 289 577 785
37 290 578 786
37 291 579 787
37 292 580 788
37 293 581 789
37 294 582 790
37 295 583 791
37 296 584 792
37 297 585 793
37 298 586 794
37 299 587 795
37 300 588 796
37 301 589 797
37 302 590 798
37 303 591 799
37 304 592 800
38 289 593 785
38 290 594 786
38 291 595 787
38 292 596 788
38 293 597 789
38 294 598 790
38 295 599 791
38 296 600 792
38 297 601 793
38 298 602 794
38 299 603 795
38 300 604 796
38 301 605 797
38 302 606 798
38 303 607 799
38 304 608 800
39 289 609 785
39 290 610 786
39 291 611 787
39 292 612 788
39 293 613 789
39 294 614 790
39 295 615 791
39 296 616 792
39 297 617 793
39 298 618 794
39 299 619 795
39 300 620 796
39 301 621 797
39 302 622 798
39 303 623 799
39 304 624 800
40 289 625 785
40 290 626 786
40 291 627 787
40 292 628 788
40 293 629 789
40 294 630 790
40 295 631 791
40 296 632 792
40 297 633 793
40 298 634 794
40 299 635 795
40 300 636 796
40 301 637 797
40 302 638 798
40 303 639 799
40 304 640 800
41 289 641 801
41 290 642 802
41 291 643 803
41 292 644 804
41 293 645 805
41 294 646 806
41 295 647 807
41 296 648 808
41 297 649 809
41 298 650 810
41 299 651 811
41 300 652 812
41 301 653 813
41 302 654 814
41 303 655 815
41 304 656 816
42 289 657 801
42 290 658 802
42 291 659 803
42 292 660 804
42 293 661 805
42 294 662 806
42 295 663 807
42 296 664 808
42 297 665 809
42 298 666 810
42 299 667 811
42 300 668 812
42 301 669 813
42 302 670 814
42 303 671 815
42 304 672 816
43 289 673 801
43 290 674 802
43 291 675 803
43 292 676 804
43 293 677 805
43 294 678 806
43 295 679 807
43 296 680 808
43 297 681 809
43 298 682 810
43 299 683 811
43 300 684 812
43 301 685 813
43 302 686 814
43 303 687 815
43 304 688 816
44 289 689 801
44 290 690 802
44 291 691 803
44 292 692 804
44 293 693 805
44 294 694 806
44 295 695 807
44 296 696 808
44 297 697 809
44 298 698 810
44 299 699 811
44 300 700 812
44 301 701 813
44 302 702 814
44 303 703 815
44 304 704 816
45 289 705 817
45 290 706 818
45 291 707 819
45 292 708 820
45 293 709 821
45 294 710 822
45 295 711 823
45 296 712 824
45 297 713 825
45 298 714 826
45 299 715 827
45 300 716 828
45 301 717 829
45 302 718 830
45 303 719 831
45 304 720 832
46 289 721 817
46 290 722 818
46 291 723 819
46 292 724 820
46 293 725 821
46 294 726 822
46 295 727 823
46 296 728 824
46 297 729 825
46 298 730 826
46 299 731 827
46 300 732 828
46 301 733 829
46 302 734 830
46 303 735 831
46 304 736 832
47 289 737 817
47 290 738 818
47 291 739 819
47 292 740 820
47 293 741 821
47 294 742 822
47 295 743 823
47 296 744 824
47 297 745 825
47 298 746 826
47 299 747 827
47 300 748 828
47 301 749 829
47 302 750 830
47 303 751 831
47 304 752 832
48 289 753 817
48 290 754 818
48 291 755 819
48 292 756 820
48 293 757 821
48 294 758 822
48 295 759 823
48 296 760 824
48 297 761 825
48 298 762 826
48 299 763 827
48 300 764 828
48 301 765 829
48 302 766 830
48 303 767 831
48 304 768 832
49 305 513 769
49 306 514 770
49 307 515 771
49 308 516 772
49 309 517 773
49 310 518 774
49 311 519 775
49 312 520 776
49 313 521 777
49 314 522 778
49 315 523 779
49 316 524 780
49 317 525 781
49 318 526 782
49 319 527 783
49 320 528 784
50 305 529 769
50 306 530 770
50 307 531 771
50 308 532 772
50 309 533 773
50 310 534 774
50 311 535 775
50 312 536 776
50 313 537 777
50 314 538 778
50 315 539 779
50 316 540 780
50 317 541 781
50 318 542 782
50 319 543 783
50 320 544 784
51 305 545 769
51 306 546 770
51 307 547 771
51 308 548 772
51 309 549 773
51 310 550 774
51 311 551 775
51 312 552 776
51 313 553 777
51 314 554 778
51 315 555 779
51 316 556 780
51 317 557 781
51 318 558 782
51 319 559 783
51 320 560 784
52 305 561 769
52 306 562 770
52 307 563 771
52 308 564 772
52 309 565 773
52 310 566 774
52 311 567 775
52 312 568 776
52 313 569 777
52 314 570 778
52 315 571 779
52 316 572 780
52 317 573 781
52 318 574 782
52 319 575 783
52 320 576 784
53 305 577 785
